code,rating
21001014013P4,4
40001016007P8,6
40001016003P2,7
40001016038P0,5
40001016072P4,4
42001013006P7,7
42001013009P6,5
42001013011P0,5
42001013105P5,5
31001017012P6,7
31001017015P5,6
31001017108P3,7
31001017105P4,7
31001017153P9,4
31001017087P6,7
23001011070P3,4
23001011020P6,4
23001011054P8,5
27001016031P9,4
41001010069P0,6
41001010024P6,5
41001010027P5,6
33001014037P4*,5
32018010043P8,3
42002010023P9,7
42002010032P8,5
32012012005P0,3
33003017051P0,5
33009015001P0,7
33009015002P7,6
31035019005P0*,4
40043010006P1,4
42046017002P0,5
22005013004P3,5
33002010172P5,6
33002010174P8,5
33002010017P0,7
33002029002P8,6
33002029003P4,7
33002029004P0,7
31010016013P8,4
31099017001P1,5
22001018052P2,4
32001010085P6,5
31001017179P8,4
31001017149P1,4
31001017144P0,4
31001017148P5,4
41001010076P6,5
31010016030P0,6
31010016001P0,7
10001018002P1*,4
13009001041P0,4
15012018001P7*,4
40002012016P3,5
15006018002P7,4
31004016018P3,4
12001015034P6,4
28001010025P5,5
28001010171P1,3
22001018042P7,6
31003010058P2,4
52001016053P3,5
32001010008P1,7
32001010010P6,7
50001019031P4,4
15001016040P4,6
42003016022P5,5
40001016044P0,5
31001017017P8,7
31001017147P9*,7
23001011073P2,4
27001016028P8,4
41001010035P8,5
32006012004P8,7
53001010094P8,4
53001010031P6,6
33004153074P9,5
33003017052P6,4
33009015003P3,6
33002010026P9,7
33002010022P3,7
33002010121P1,7
33002029026P4,7
32001010095P1,4
33002010254P1,3
42016010001P9,6
32029012001P1,6
52002012002P6,6
32008015019P8,5
33006016013P0,4
40003019017P6,6
31005012007P8,6
42005019012P2,5
33005010009P0,5
33005010033P8,5
15006018004P0,4
32005016004P1,5
24001015050P5,4
27001016046P6,3
33017018001P0,4
25002015004P2,4
25002015007P1,4
42016010002P5,4
40070018001P6,3
30014018001P2,4
41050002001P0,3
32008015020P6,3
33283010001P5*,4
31075010001P2*,4
25016016039P8*,4
32001010175P5*,5
40001016170P6*,4
31001017155P1*,5
31001017169P2*,4
23001011069P5*,4
42002010169P3*,4
41002016026P1*,3
33004129069P9*,4
33004137068P8*,4
33002045070P4*,5
31022014009P5,4
42004012022P1,4
22008012004P2,4
31007015009P3,4
32008015011P7,5
40003019004P1,5
31005012004P9,7
42005019016P8,7
41002016023P2,4
22003010018P1,4
28002016020P6,3
40002012033P5,4
40004015019P5,4
23002018002P4*,3
33144010008P1,4
11001011072P2,3
26001012035P1,4
12001015012P2,6
28001010095P3,6
22001018031P5,5
